trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
260,False,"{'a': 0.31466157380877763, 'e': 0.07330786904388827}",30,13,19.17605018355167,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.31451495807068985, 'e': 0.07257479035344938}",20,0,34.96011885883921,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
262,False,"{'a': 0.31436980848998297, 'e': 0.07184904244991488}",35,27,15.847788788288078,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.31422611040508314, 'e': 0.07113055202541574}",20,8,0.5073951529349376,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
264,False,"{'a': 0.3140838493010323, 'e': 0.07041924650516158}",20,0,31.622457763203496,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
265,False,"{'a': 0.313943010808022, 'e': 0.06971505404010997}",25,13,21.642063926444866,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.31380358069994174, 'e': 0.06901790349970886}",20,0,3.580413376771406,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
267,False,"{'a': 0.31366554489294235, 'e': 0.06832772446471178}",25,8,2.5994006037027138,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
268,False,"{'a': 0.3135288894440129, 'e': 0.06764444722006466}",20,8,20.33094671531184,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.31339360054957277, 'e': 0.066968002747864}",20,0,23.440572799649004,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
270,False,"{'a': 0.31325966454407705, 'e': 0.06629832272038537}",25,10,-12.843747728266857,"{0: 13, 1: 0, 2: 0, 3: 2, 4: 0}",1
271,False,"{'a': 0.3131270678986363, 'e': 0.06563533949318151}",35,22,15.704543645200369,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.31299579721964993, 'e': 0.06497898609824969}",20,4,19.055664245263166,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
273,False,"{'a': 0.3128658392474534, 'e': 0.0643291962372672}",25,11,14.815444493585797,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
274,False,"{'a': 0.31273718085497887, 'e': 0.06368590427489453}",25,0,32.79626871251327,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
275,False,"{'a': 0.3126098090464291, 'e': 0.06304904523214558}",30,0,39.69680194787689,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
276,False,"{'a': 0.31248371095596483, 'e': 0.06241855477982412}",20,0,8.07263005453247,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
277,False,"{'a': 0.31235887384640515, 'e': 0.06179436923202588}",30,13,18.39157135887546,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.31223528510794113, 'e': 0.06117642553970562}",20,0,28.499788556360524,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
279,False,"{'a': 0.3121129322568617, 'e': 0.06056466128430856}",20,9,18.820078644611,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.31199180293429307, 'e': 0.05995901467146548}",25,14,17.687808694469304,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.31187188490495016, 'e': 0.05935942452475082}",20,14,13.182051851018803,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.31175316605590064, 'e': 0.058765830279503314}",20,0,25.269330105400876,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
283,False,"{'a': 0.31163563439534164, 'e': 0.05817817197670828}",20,10,16.184030774467423,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.31151927805138824, 'e': 0.057596390256941195}",30,18,18.70655099000342,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.3114040852708743, 'e': 0.05702042635437178}",20,0,13.98917272898654,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
286,False,"{'a': 0.3112900444181656, 'e': 0.05645022209082806}",25,16,17.95988330893025,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.31117714397398394, 'e': 0.05588571986991978}",20,8,17.900786802025173,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.3110653725342441, 'e': 0.055326862671220584}",25,0,34.67949174027422,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
289,False,"{'a': 0.3109547188089017, 'e': 0.05477359404450838}",20,3,25.56175724891694,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.31084517162081265, 'e': 0.054225858104063294}",30,15,25.634359453368667,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.3107367199046045, 'e': 0.05368359952302266}",20,2,-36.50864007164506,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 1}",1
292,False,"{'a': 0.31062935270555847, 'e': 0.053146763527792434}",20,0,-6.161720309338073,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
293,False,"{'a': 0.31052305917850287, 'e': 0.052615295892514506}",20,0,14.309920156847957,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
294,False,"{'a': 0.31041782858671785, 'e': 0.052089142933589364}",20,6,17.240622968279197,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.3103136503008507, 'e': 0.05156825150425347}",25,0,28.18398659956785,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
