trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.810157377815473}",25,0,-103.65104906457962,"{0: 17, 1: 3, 2: 1, 3: 3, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.8061065909263957}",20,0,-68.10592406625817,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.8020760579717637}",20,5,-72.70459709478341,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 2}",1
45,False,"{'a': 0.5, 'e': 0.798065677681905}",20,0,-175.61965856499106,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
46,False,"{'a': 0.5, 'e': 0.7940753492934954}",25,0,-225.30978864116614,"{0: 11, 1: 6, 2: 3, 3: 1, 4: 4}",0
47,False,"{'a': 0.5, 'e': 0.7901049725470279}",25,0,-33.01512855693994,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.7861544476842928}",25,0,-120.22599453266302,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
49,False,"{'a': 0.5, 'e': 0.7822236754458713}",25,0,-98.65796593923358,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.778312557068642}",20,0,-77.64336275309371,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.7744209942832988}",35,0,-144.88307756154796,"{0: 22, 1: 5, 2: 5, 3: 1, 4: 2}",1
52,False,"{'a': 0.5, 'e': 0.7705488893118823}",25,9,-44.54357475405059,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1
53,False,"{'a': 0.5, 'e': 0.7666961448653229}",25,9,-46.580164447916914,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.7628626641409962}",25,0,-147.3313163657057,"{0: 16, 1: 3, 2: 1, 3: 3, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.7590483508202912}",30,0,-182.20454117596375,"{0: 19, 1: 1, 2: 6, 3: 1, 4: 3}",0
56,False,"{'a': 0.5, 'e': 0.7552531090661897}",20,0,-8.569140693260344,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.7514768435208588}",35,0,-186.02811903100127,"{0: 21, 1: 5, 2: 5, 3: 1, 4: 3}",0
58,False,"{'a': 0.5, 'e': 0.7477194593032545}",25,0,-88.98140704063148,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.7439808620067382}",20,0,-72.63816624395126,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.7402609576967045}",20,0,-40.33522472010548,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.736559652908221}",20,12,-44.59124599058292,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 1}",1
62,False,"{'a': 0.5, 'e': 0.7328768546436799}",30,0,-105.40680672807294,"{0: 21, 1: 1, 2: 5, 3: 2, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.7292124703704616}",25,0,-29.14727260534341,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.7255664080186093}",30,0,-54.5599046532485,"{0: 22, 1: 1, 2: 6, 3: 1, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.7219385759785162}",20,0,1.4648570423015586,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.7183288830986236}",20,0,-190.86827431317178,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 3}",0
67,False,"{'a': 0.5, 'e': 0.7147372386831305}",20,8,-120.59271244475107,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 3}",1
68,False,"{'a': 0.5, 'e': 0.7111635524897149}",35,17,-39.40966969868426,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 1}",1
69,False,"{'a': 0.5, 'e': 0.7076077347272662}",25,11,-2.9247598134121793,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.7040696960536299}",20,0,-92.41446285806428,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.7005493475733617}",25,14,-64.00311711799026,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 1}",1
72,False,"{'a': 0.5, 'e': 0.697046600835495}",20,0,-22.145997549592217,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.6935613678313175}",25,3,-178.97524106154472,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 3}",1
74,False,"{'a': 0.5, 'e': 0.6900935609921609}",25,0,-100.86265833775214,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
75,False,"{'a': 0.5, 'e': 0.6866430931872001}",25,0,-30.96858821459947,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.6832098777212641}",20,0,-132.72447835911998,"{0: 11, 1: 1, 2: 4, 3: 3, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.6797938283326578}",20,0,-56.78207971655898,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.6763948591909945}",25,0,-4.504152535308739,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.6730128848950395}",20,0,-150.02534300580913,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
80,False,"{'a': 0.5, 'e': 0.6696478204705644}",25,0,-1.0381653546034824,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.6662995813682115}",30,5,-56.43020105875471,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",1
